name,id,parent
Social issues,Social,Field
Environmental sciences & ecology,Environmental,Field
Health & well-being,Health,Field
News & media,News,Field
Personal life,Daily,Field
Business & economics,Business,Field
Urban studies,Urban,Field
Human geography,Geography,Field
Mixed topics / not specified,Mixed,Field
Inform,Inform,Task
Engage,Engage,Task
Experiment,Experiment,Task
Provoke,Provoke,Task
Advocate,Advocate,Task
Socialize,Socialize,Task
Empower,Empower,Task
Heal,Heal,Task
Commemorate,Commemorate,Task
Archive,Archive,Task
Genre,Genre,Genre
Realistic/metaphorical imagery,Imagery,Sensation
Color,Color,Sensation
Kinetics,Kinetics,Sensation
Sound,Sound,Sensation
Tangible material/texture,Tangible,Sensation
Smell,Smell,Sensation
Shape,Shape,Sensation
Typeface,Typeface,Sensation
Taste,Taste,Sensation
Proximity,Proximity,Narrative
Anthropomorphism,Anthropomorphism,Narrative
Narrative structure,Structure,Narrative
Wording/phrasing,Wording,Narrative
Manipulate/operate,Manipulate,Behavior
Create/build,Create,Behavior
Walk/wander,Walk,Behavior
Situated place,Situated,Context
Immersive environment,Immersive,Context
