index,field,id,title,web,paper,interview,Genre,Social,Environmental,Health,News,Daily,Business,Urban,Geography,Mixed,Inform,Engage,Experiment,Provoke,Advocate,Socialize,Heal,Empower,Commemorate,Archive,Imagery,Color,Kinetics,Sound,Tangible,Smell,Shape,Taste,Typeface,Proximity,Anthropomorphism,Structure,Wording,Manipulate,Create,Walk,Situated,Immersive
1,social issues,p1,The Academia is Tied in Knots,https://tiedinknots.io/#/,https://doi.org/10.1109/VISAP51628.2020.00010,,interactive interface,x,,,,,,,,,x,x,,,x,,,x,,,x,x,,x,,,,,,,x,,,,,,,
2,social issues,p2,Egypt building collapses,https://egyptbuildingcollapses.org/,,http://ojs.uc.cl/index.php/Disena/article/view/95/101,interactive interface,x,,,,,,,,,x,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,
3,social issues,p3,Suicide Rates and Gun Control (VR),,https://doi.org/10.1109/bdva.2017.8114623,,interactive interface,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x
4,social issues,p4,U.S. Gun Death,https://guns.periscopic.com/,,https://www.peachpit.com/articles/article.aspx?p=2036558,interactive interface,x,,,,,,,,,x,,,x,x,,,,,,,x,x,,,,,,,,x,,,,,,,
5,social issues,p5,Juneteenth: An Inflection Point in the Struggle for Freedom,https://public.tableau.com/app/profile/candra4181/viz/Juneteenth_15925454799380/Juneteeth,https://doi.org/10.1109/TVCG.2022.3209500,,interactive interface,x,,,,,,,,,x,,,,x,,,,,,x,x,,,,,,,,,,,x,,,,,
6,social issues,p6,An Immersive Math of Mass Shootings,,https://doi.org/10.1109/MCG.2019.2898941,,interactive interface,x,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,x,,,,,,,
7,social issues,p7,Poppy Field,http://www.poppyfield.org/,,https://dataviztoday.com/shownotes/14,interactive interface,x,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,
8,social issues,p8,Brooke leave home,https://brookeleavehome.github.io/,https://doi.org/10.1145/3313831.3376462,,interactive interface + video,x,,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,x,x,x,,,,,,
9,social issues,p9,Netwars/out of CTRL,http://www.netwars-project.com/,,https://mediarep.org/bitstream/handle/doc/19444/Dubois_2021_Interactive-Documentary_.pdf?sequence=2&isAllowed=y,interactive interface + video,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x,,x,,,,,,
10,social issues,p10,Fallen of WW2,http://www.fallen.io/ww2/,,https://policyviz.com/podcast/episode-96-neil-halloran/,interactive interface + video,x,,,,,,,,,x,,x,,,,,,,,x,,x,x,,,,,,,x,x,,,,,,
11,environmental sciences & ecology,p11,The Water We Eat,http://thewaterweeat.com/,,https://www.youtube.com/watch?v=4NoQvPCSE7g,interactive interface,,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,x,,,,,
12,biogeochemistry data,p12,Sculpting Visualizations,https://www.sculpting-vis.org/,https://www.doi.org/10.1109/VISAP57411.2022.00025,,interactive interface + artifact,,x,,,,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,
13,environmental sciences & ecology,p13,Wind Map,http://hint.fm/projects/wind/,,,interactive interface,,x,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,
14,health & well-being,p14,No Epicentro (At the epicenter),https://piaui.folha.uol.com.br/lupa/epicentro/en/,,https://sigmaawards.org/no-epicentro-at-the-epicenter/,interactive interface,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,x,,,,,,,,
