index,field,id,title,web,paper,interview,Genre,Social,Environmental,Health,News,Personal,Business,Urban,Geography,Mixed,Task,Inform,Engage,Experiment,Advocate,Provoke,Socialize,Heal,Empower,Commemorate,Archive,Imagery,Color,Kinetics,Sound,Tangible,Smell,Shape,Typeface,Taste,Proximity,Anthropomorphics,Plot,Wording,Manipulate,Create,Walk,Situated,Immersive
1,social issues,p1,The Academia is Tied in Knots,https://tiedinknots.io/#/,,,interactive interface,x,,,,,,,,,x,x,x,,x,,,,x,,,x,x,,x,,,,,,,x,,,,,,,
2,social issues,p2,Egypt building collapses,https://egyptbuildingcollapses.org/,,,interactive interface,x,,,,,,,,,x,x,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,
3,social issues,p3,Suicide Rates and Gun Control (VR),,https://doi.org/10.1109/bdva.2017.8114623,xxx,interactive interface,x,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x
4,social issues,p4,U.S. Gun Death,https://guns.periscopic.com/,,,interactive interface,x,,,,,,,,,x,x,,,x,x,,,,,,,x,x,,,,,,,,x,,,,,,,
5,social issues,p5,Juneteenth: An Inflection Point in the Struggle for Freedom,https://public.tableau.com/app/profile/candra4181/viz/Juneteenth_15925454799380/Juneteeth,,,interactive interface,x,,,,,,,,,x,x,,,x,,,,,,,x,x,,,,,,,,,,,x,,,,,
6,social issues,p6,An Immersive Math of Mass Shootings,,https://doi.org/10.1109/MCG.2019.2898941,xxxx,interactive interface,x,,,,,,,,,x,,,x,,,,,,,,x,,,,,,,,,,x,,,,,,,
7,social issues,p7,Poppy Field,http://www.poppyfield.org/,,,interactive interface,x,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,
8,social issues,p8,Brooke leave home,https://brookeleavehome.github.io/,,,interactive interface + video,x,,,,,,,,,x,x,x,,x,,,,,,,,,,,,,,,,x,x,x,,,,,,
9,social issues,p9,Netwars/out of CTRL,http://www.netwars-project.com/,,,interactive interface + video,x,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,x,,x,,,,,,
10,social issues,p10,Fallen of WW2,http://www.fallen.io/ww2/,,xxx,interactive interface + video,x,,,,,,,,,x,x,,x,,,,,,,,x,,x,x,,,,,,,x,x,,,,,,
